,IL,R1,dEC50,EC50_WT,EC50_Mut,Amp
176,3.5969055019136546e-12,4.536577288762978,0.04361126750305111,4.4470469527119283e-11,4.022170230619487e-11,0.44635767953325933
177,3.5969055019136546e-12,4.7365772887629785,0.09825310535500442,6.465184070650444e-11,5.156176662448329e-11,0.6550960259267959
178,3.5969055019136546e-12,4.936577288762978,0.007766939814784379,7.287416542598337e-11,7.158246578026866e-11,0.9607607901213756
179,3.5969055019136546e-12,5.136577288762978,0.023819580823968067,1.3260536690848995e-10,1.2552826340475335e-10,1.4078489250747248
180,6.000000000000003e-12,1.136577288762978,1.0343213758792,1.114277140398399e-11,1.02960785003608e-12,0.0010802818708713674
181,6.000000000000003e-12,1.3587995109852002,1.027325075113442,1.1158837065350557e-11,1.0478373173306184e-12,0.0016547729006545346
182,6.000000000000003e-12,1.5810217332074223,1.0281476391296387,1.1183501784251379e-11,1.0481662513004536e-12,0.0025348261779699847
183,6.000000000000003e-12,1.8032439554296444,0.9974581224589656,1.1221041496577046e-11,1.128690958194514e-12,0.0038830305248322224
184,6.000000000000003e-12,2.0254661776518668,0.997011234143093,1.12781725534433e-11,1.135605535347635e-12,0.005948572620891813
185,6.000000000000003e-12,2.247688399874089,0.9339596212487162,1.1364792553647733e-11,1.3231280958470466e-12,0.009113466869579269
186,6.000000000000003e-12,2.469910622096311,0.9380293112624152,1.1495452236163983e-11,1.3258571958490764e-12,0.013963587908432367
187,6.000000000000003e-12,2.6921328443185333,0.8219421642339722,1.169091897522354e-11,1.7615966931632309e-12,0.021397931723877304
188,6.000000000000003e-12,2.9143550665407556,0.8304778504202623,1.197967094075529e-11,1.7699746182088801e-12,0.03279685214493275
189,6.000000000000003e-12,3.136577288762978,0.5943572867434916,1.239805142720104e-11,3.154976630793176e-12,0.050281206346916844
190,6.000000000000003e-12,3.336577288762978,0.4884673317555013,1.2918864597163704e-11,4.195241968631171e-12,0.07388199157473917
191,6.000000000000003e-12,3.536577288762978,0.44906420132826774,1.592229572377047e-11,5.661630007800087e-12,0.10858944587903845
192,6.000000000000003e-12,3.736577288762978,0.4899935501829731,1.7817127718618917e-11,5.765595140123769e-12,0.15963631041508186
193,6.000000000000003e-12,3.9365772887629777,0.2019121412562459,2.0582874510474213e-11,1.2929861860076905e-11,0.2346989266521763
194,6.000000000000003e-12,4.136577288762978,0.12085644511551585,2.5454584278377014e-11,1.9271235713919625e-11,0.3450079637671872
195,6.000000000000003e-12,4.336577288762978,0.13533502540129128,3.397287091975506e-11,2.4876955174591476e-11,0.5069662943308367
